set_num,theme,name,year,pieces,minifigs,rrp_price,current_value
10790-1,Marvel Super Heroes,Team Spidey at Green Goblin's Lighthouse,2023,149,sh0803 sh0862 sh0863 sh0864,"$34.99, €34.99 | More",
10791-1,Marvel Super Heroes,Team Spidey's Mobile Headquarters,2023,187,sh0795 sh0865 sh0866 sh0867 sh0868,"$49.99, €49.99 | More",
10935-1,Duplo,Alphabet Town,2023,87,47205pb089 47205pb091,"$49.99, €49.99 | More",
10981-1,Duplo,Growing Carrot,2023,11,,"$9.99, €9.99 | More",
10982-1,Duplo,Fruit and Vegetable Tractor,2023,19,47205pb099,"$19.99, €19.99 | More",
10983-1,Duplo,Organic Market,2023,40,,"$29.99, €29.99 | More",
10984-1,Duplo,Organic Garden,2023,43,,"$44.99, €44.99 | More",
10985-1,Duplo,Wind Turbine and Electric Car,2023,16,47394pb351,"$9.99, €9.99 | More",
10986-1,Duplo,Family House on Wheels,2023,31,47205pb089 47394pb340,"$19.99, €19.99 | More",
10987-1,Duplo,Recycling Truck,2023,15,47394pb348,"$19.99, €19.99 | More",
10988-1,Duplo,The Bus Ride,2023,16,47205pb096 47205pb107 47394pb349,"$19.99, €19.99 | More",
10989-1,Duplo,Water Park,2023,19,47205pb105 47205pb106,"$39.99, €42.99 | More",
10990-1,Duplo,Construction Site,2023,61,47394pb288 47394pb289 47394pb346,"$64.99, €64.99 | More",
10991-1,Duplo,Dream Playground,2023,75,47205pb080 47205pb098 47205pb110 47394pb350,"$49.99, €52.99 | More",
10992-1,Duplo,Life at the Day-Care Centre,2023,67,47205pb103 47205pb104 47205pb109 47394pb352,"$44.99, €47.99 | More",
10993-1,Duplo,3in1 Tree House,2023,126,47205pb071 47205pb096 47205pb097 47205pb098 47394pb341,"$89.99, €89.99 | More",
10994-1,Duplo,3in1 Family House,2023,218,47205pb071 47205pb103 47205pb104 47394pb349 47394pb350,"$129.99, €139.99 | More",
10995-1,Duplo,Spider-Man's House,2023,25,47394pb312 47394pb324,"$19.99, €24.99 | More",
10996-1,Duplo,Lightning McQueen & Mater's Car Wash Fun,2023,23,crs113 crs114,"$29.99, €34.99 | More",
10997-1,Duplo,Camping Adventure,2023,37,47205pb100 47205pb101 47205pb102 47394pb347,"$49.99, €52.99 | More",
10998-1,Duplo,3in1 Magical Castle,2023,160,47394pb342 47394pb343 47394pb344 47394pb345,"$99.99, €99.99 | More",
11027-1,Classic,Creative Neon Fun,2023,333,,"$19.99, €19.99 | More",
11028-1,Classic,Creative Pastel Fun,2023,333,,"$19.99, €19.99 | More",
11029-1,Classic,Creative Party Box,2023,900,,"$49.99, €49.99 | More",
11030-1,Classic,Lots of Bricks,2023,1000,,"$59.99, €59.99 | More",
11031-1,Classic,Creative Monkey Fun,2023,135,,"$9.99, €9.99 | More",
11032-1,Classic,Creative Colour Fun,2023,1500,,"$64.99, €69.99 | More",
11033-1,Classic,Creative Fantasy Universe,2023,1800,,"$89.99, €89.99 | More",
11959-1,Miscellaneous,Build Your Own LEGO Escape Room parts,2023,49,,,
11973-1,Miscellaneous,Outdoor Adventures,2023,32,,,
11974-1,Creator,Polar Bear,2023,56,,,
11975-1,Creator,Tractor,2023,25,,,
11976-1,Creator,Space Shuttle,2023,45,,,
11977-1,Creator,Hammerhead Shark,2023,40,,,
11978-1,Creator,Viking Ship,2023,48,,,
11984-1,Miscellaneous,The LEGO Christmas Games Book Parts,2023,60,,,
21060-1,Architecture,Himeji Castle,2023,2125,,"$159.99, €159.99 | More",
21240-1,Minecraft,The Swamp Adventure,2023,65,min010 min017,"$9.99, €9.99 | More",
21241-1,Minecraft,The Bee Cottage,2023,254,min127 min136,"$24.99, €19.99 | More",
21242-1,Minecraft,The End Arena,2023,252,min137 min138 min139,"$24.99, €24.99 | More",
21243-1,Minecraft,The Frozen Peaks,2023,304,min012 min140 min141,"$34.99, €34.99 | More",
21244-1,Minecraft,The Sword Outpost,2023,427,min012 min032 min143 min144 min145,"$44.99, €44.99 | More",
21245-1,Minecraft,The Panda Haven,2023,553,min011 min142,"$49.99, €49.99 | More",
21246-1,Minecraft,The Deep Dark Battle,2023,584,min147 min148 min149,"$64.99, €64.99 | More",
21247-1,Minecraft,The Axolotl House,2023,242,min088 min153,"$26.99, €26.99 | More",
21248-1,Minecraft,The Pumpkin Farm,2023,257,min009 min150,"$39.99, €37.99 | More",
21249-1,Minecraft,The Crafting Box 4.0,2023,605,min009 min012 min017 min131,"$79.99, €74.99 | More",
21250-1,Minecraft,The Iron Golem Fortress,2023,868,min052 min065 min105 min155 min156,"$109.99, €104.99 | More",
21338-1,Ideas,A-Frame Cabin,2023,2082,idea147 idea148 idea149 idea150,"$179.99, €179.99 | More",
21339-1,Ideas,BTS Dynamite,2023,749,idea151 idea152 idea153 idea154 idea155 idea156 idea157,"$99.99, €99.99 | More",
21340-1,Ideas,Tales of the Space Age,2023,688,,"$49.99, €49.99 | More",
21341-1,Ideas,Disney Hocus Pocus: The Sanderson Sisters' Cottage,2023,2316,gen047 idea158 idea159 idea160 idea161 idea162 idea163,"$229.99, €229.99 | More",
21342-1,Ideas,The Insect Collection,2023,1111,,"$79.99, €79.99 | More",
21343-1,Ideas,Viking Village,2023,2103,idea167 idea168 idea169 idea170,"$129.99, €139.99 | More",
21344-1,Ideas,The Orient Express Train,2023,2540,8  (8 unique to this set),"$299.99, €299.99 | More",
30629-1,LEGO Games,Finnius Dash,2023,4,,,
30630-1,LEGO Games,Aquadirt Racer,2023,61,,,
30633-1,Friends,Skate Ramp,2023,46,frnd0583,$4.99,
30634-1,Friends,Friendship Flowers,2023,84,,$4.99,
30635-1,Friends,Beach Cleanup,2023,52,frnd0660,,
30636-1,Dreamzzz,Z-Blob and Bunchu Spider Escape,2023,44,drm013,,
30637-1,Dots,Animal Tray and Bag Tag,2023,94,,$4.99,
30638-1,City,Police Bike Training,2023,36,cty1570,,
30639-1,City,Dog Park and Scooter,2023,24,cty1594,,
30640-1,City,Race Car,2023,44,cty1593,,
30641-1,Creator,Panda Bear,2023,83,,$4.99,
30642-1,Creator,Birthday Train,2023,58,,,
30643-1,Creator,Easter Chickens,2023,61,,$4.99,
30644-1,Creator,Vintage Car,2023,59,,,
30645-1,Creator,Snowman,2023,78,,$4.99,
30646-1,Disney,Moana's Dolphin Cove,2023,47,dp171,$4.99,
30647-1,Minecraft,The Dripstone Cavern,2023,45,min009 min012,$4.99,
30648-1,Duplo,Whale,2023,9,,,
30649-1,Ninjago,Ice Dragon Creature,2023,70,,,
30650-1,Ninjago,Kai and Rapton's Temple Battle,2023,47,njo0811 njo0821,,
30651-1,Harry Potter,Quidditch Practice,2023,55,hp418,,
30652-1,Marvel Super Heroes,Doctor Strange's Interdimensional Portal,2023,44,sh0802,$4.99,
30653-1,DC Comics Super Heroes,Batman 1992,2023,40,sh0880,$4.99,
30654-1,Star Wars,X-wing Starfighter,2023,87,,$4.99,
30655-1,Technic,Forklift with Pallet,2023,78,,,
30656-1,Monkie Kid,Monkey King Marketplace,2023,66,mk132,,
30657-1,Speed Champions,McLaren Solus GT,2023,95,,"$4.99, €3.99",
31133-1,Creator,White Rabbit,2023,258,,"$19.99, €19.99 | More",
31134-1,Creator,Space Shuttle,2023,144,,"$9.99, €9.99 | More",
31135-1,Creator,Vintage Motorcycle,2023,128,,"$14.99, €14.99 | More",
31136-1,Creator,Exotic Parrot,2023,253,,"$19.99, €24.99 | More",
31137-1,Creator,Adorable Dogs,2023,475,,"$29.99, €29.99 | More",
31138-1,Creator,Beach Camper Van,2023,556,twn461 twn462,"$49.99, €49.99 | More",
31139-1,Creator,Cozy House,2023,808,cty1582 cty1583 cty1584,"$59.99, €59.99 | More",
31140-1,Creator,Magical Unicorn,2023,145,,"$9.99, €9.99 | More",
31141-1,Creator,Main Street,2023,1459,twn471 twn472 twn473 twn474 twn475 twn476,"$139.99, €139.99 | More",
31142-1,Creator,Space Roller Coaster,2023,874,col414 twn477 twn478 twn479 twn480 twn481,"$109.99, €104.99 | More",
31143-1,Creator,Birdhouse,2023,476,,"$29.99, €29.99 | More",
31144-1,Creator,Exotic Pink Parrot,2023,253,,"$19.99, €24.99 | More",
31208-1,Art,Hokusai - The Great Wave,2023,1810,,"$99.99, €99.99 | More",
31209-1,Art,The Amazing Spider-Man,2023,2099,,"$199.99, €199.99 | More",
31210-1,Art,Modern Art,2023,805,,"$49.99, €49.99 | More",
40504-1,Promotional,A Minifigure Tribute,2023,1041,,"$84.99, €79.99",
40575-1,Seasonal,Year of the Rabbit,2023,194,,,
40580-1,Icons,Blacktron Cruiser,2023,356,sp134 sp135,,
40581-1,Icons,BIONICLE Tahu and Takua,2023,219,,,
40582-1,City,4x4 Off-Road Ambulance Rescue,2023,162,cty1571 cty1572 cty1573,,
40583-1,Promotional,Houses of the World 1,2023,348,,,
40584-1,Seasonal,Birthday Diorama,2023,157,hol323 hol324,,
40585-1,Architecture,World of Wonders,2023,382,,,
40586-1,Icons,Moving Truck,2023,301,twn459 twn460,,
40587-1,Seasonal,Easter Basket,2023,368,,,
40588-1,Promotional,Flowerpot,2023,292,,,
40589-1,Promotional,Pirate Ship Playground,2023,168,twn463 twn464,,
40590-1,Promotional,Houses of the World 2,2023,270,,,
40591-1,Star Wars,Death Star II,2023,289,,,
40593-1,Promotional,Fun Creativity 12-in-1,2023,279,,,
40594-1,Promotional,Houses of the World 3,2023,278,,,
40595-1,Ideas,Tribute to Galileo Galilei,2023,307,idea171,,
40596-1,Promotional,Magic Maze,2023,332,,$29.99 | More,
40597-1,Creator,Scary Pirate Island,2023,214,pi197,,
40598-1,Harry Potter,Gringotts Vault,2023,212,hp457,,
40599-1,Promotional,Houses of the World 4,2023,318,,,
40600-1,Disney,Disney 100 Years Celebration,2023,226,dis131,,
40601-1,Icons,Majisto's Magical Workshop,2023,365,cas580 cas581,,
40602-1,Creator,Winter Market Stall,2023,271,hol331 hol332,,
40603-1,Seasonal,Wintertime Carriage Ride,2023,153,hol333 hol334 hol335,,
40604-1,Seasonal,Christmas Decor Set,2023,182,,,
40605-1,Miscellaneous,Lunar New Year VIP Add-On Pack,2023,124,,,
40606-1,Miscellaneous,Spring Fun VIP Add-On Pack,2023,128,,,
40607-1,Miscellaneous,Summer Fun VIP Add-On Pack,2023,120,,,
40608-1,Miscellaneous,Halloween Fun VIP Add-On Pack,2023,118,gen180,,
40609-1,Miscellaneous,Christmas Fun VIP Add-On Pack,2023,146,,,
40610-1,Miscellaneous,Winter Fun VIP Add-On Pack,2023,142,,,
40613-1,Disney,Mini Disney Palace of Agrabah,2023,506,,"$39.99, €39.99 | More",
40615-1,BrickHeadz,Tusken Raider,2023,152,,"$9.99, €9.99 | More",
40616-1,BrickHeadz,Harry Potter & Cho Chang,2023,267,,"$19.99, €19.99 | More",
40617-1,BrickHeadz,Draco Malfoy & Cedric Diggory,2023,262,,"$19.99, €19.99 | More",
40618-1,BrickHeadz,Kingsley Shacklebolt & Nymphadora Tonks,2023,250,,"$19.99, €19.99 | More",
40619-1,BrickHeadz,EVE & WALL-E,2023,155,,"$19.99, €19.99 | More",
40620-1,BrickHeadz,Cruella & Maleficent,2023,320,,"$19.99, €19.99 | More",
40621-1,BrickHeadz,Moana & Merida,2023,410,,"$19.99, €19.99 | More",
40622-1,BrickHeadz,Disney 100th Celebration,2023,501,,"$39.99, €39.99 | More",
40623-1,BrickHeadz,Battle of Endor Heroes,2023,549,,"$39.99, €39.99 | More",
40624-1,BrickHeadz,Alex,2023,86,,"$9.99, €9.99 | More",
40625-1,BrickHeadz,Llama,2023,100,,"$9.99, €9.99 | More",
40626-1,BrickHeadz,Zombie,2023,81,,"$9.99, €9.99 | More",
40627-1,BrickHeadz,Sonic the Hedgehog,2023,139,,"$9.99, €9.99 | More",
40628-1,BrickHeadz,Miles 'Tails' Prower,2023,131,,"$9.99, €9.99 | More",
40630-1,BrickHeadz,Frodo & Gollum,2023,184,,"$14.99, €14.99 | More",
40631-1,BrickHeadz,Gandalf the Grey & Balrog,2023,348,,"$19.99, €19.99 | More",
40632-1,BrickHeadz,Aragorn & Arwen,2023,261,,"$19.99, €19.99 | More",
40634-1,Miscellaneous,Icons of Play,2023,899,15  (15 unique to this set),"$99.99, €99.99 | More",
40638-1,Seasonal,Heart Ornament,2023,254,,"$12.99, €12.99 | More",
40639-1,Seasonal,Bird's Nest,2023,232,,"$12.99, €12.99 | More",
40640-1,Seasonal,LEGO Nutcracker,2023,208,,"$12.99, €12.99 | More",
40641-1,Seasonal,Birthday Cake,2023,211,twn469 twn470,"$14.99, €14.99 | More",
40642-1,Seasonal,Gingerbread Ornaments,2023,190,,"$12.99, €12.99 | More",
40643-1,Seasonal,Jade Rabbit,2023,288,,"$19.99, €19.99 | More",
40644-1,Seasonal,Piñata,2023,206,,"$9.99, €9.99 | More",
40646-1,Icons,Daffodils,2023,216,,"$14.99, €14.99 | More",
40647-1,Creator,Lotus Flowers,2023,220,,"$14.99, €14.99 | More",
40648-1,Seasonal,Money Tree,2023,336,,"$24.99, €24.99 | More",
40649-1,Miscellaneous,Up-Scaled LEGO Minifigure,2023,654,pln196,"$59.99, €59.99 | More",
40650-1,Creator,Land Rover Classic Defender,2023,150,twn468,"$14.99, €14.99 | More",
40651-1,Creator,Australia Postcard,2023,191,,"$14.99, €14.99 | More",
40655-1,Miscellaneous,Play with Braille – French Alphabet,2023,287,,"$89.99, €89.99 | More",
40656-1,Miscellaneous,Play with Braille – English Alphabet,2023,287,,"$89.99, €89.99 | More",
40657-1,Dreamzzz,Dream Village,2023,434,drm004 drm017 drm018 drm019,"$29.99, €29.99 | More",
40658-1,Star Wars,Millennium Falcon Holiday Diorama,2023,282,sw0532 sw1034 sw1317 sw1318,"$29.99, €29.99 | More",
40659-1,Disney,Mini Steamboat Willie,2023,424,dis147,,
41723-1,Friends,Donut Shop,2023,63,frnd0579 frnd0583,"$9.99, €9.99 | More",
41724-1,Friends,Paisley's House,2023,185,frnd0617 frnd0618 frnd0619,"$39.99, €44.99 | More",
41725-1,Friends,Beach Buggy Fun,2023,61,frnd0658 frnd0659,"$10.99, €9.99 | More",
41726-1,Friends,Holiday Camping Trip,2023,87,frnd0576 frnd0612,"$19.99, €24.99 | More",
41727-1,Friends,Dog Rescue Centre,2023,617,frnd0597 frnd0598 frnd0599,"$59.99, €59.99 | More",
41728-1,Friends,Heartlake Downtown Diner,2023,346,frnd0583 frnd0612 frnd0613,"$29.99, €29.99 | More",
41729-1,Friends,Organic Grocery Store,2023,830,frnd0576 frnd0577 frnd0578 frnd0579 frnd0580,"$89.99, €89.99 | More",
41730-1,Friends,Autumn's House,2023,853,frnd0584 frnd0585 frnd0586 frnd0587,"$69.99, €69.99 | More",
41731-1,Friends,Heartlake International School,2023,985,frnd0569 frnd0598 frnd0609 frnd0610 frnd0611 gen172,"$99.99, €99.99 | More",
41732-1,Friends,Downtown Flower and Design Stores,2023,2010,9  (7 unique to this set),"$159.99, €159.99 | More",
41733-1,Friends,Mobile Bubble Tea Shop,2023,109,frnd0591 frnd0592,"$9.99, €9.99 | More",
41734-1,Friends,Sea Rescue Boat,2023,717,frnd0648 frnd0649 frnd0650 frnd0651,"$79.99, €84.99 | More",
41735-1,Friends,Mobile Tiny House,2023,785,frnd0581 frnd0582 frnd0583,"$64.99, €64.99 | More",
41736-1,Friends,Sea Rescue Centre,2023,376,frnd0653 frnd0654 frnd0655,"$49.99, €49.99 | More",
41737-1,Friends,Beach Amusement Park,2023,1348,frnd0642 frnd0643 frnd0644 frnd0645,"$119.99, €99.99 | More",
41738-1,Friends,Dog Rescue Bike,2023,125,frnd0606 frnd0607,"$9.99, €9.99 | More",
41739-1,Friends,Liann's Room,2023,204,frnd0600 frnd0601,"$19.99, €19.99 | More",
41740-1,Friends,Aliya's Room,2023,209,frnd0602 frnd0603,"$19.99, €19.99 | More",
41741-1,Friends,Dog Rescue Van,2023,300,frnd0595 frnd0596,"$29.99, €29.99 | More",
41742-1,Friends,Cat Hotel,2023,445,frnd0569 frnd0608,"$29.99, €29.99 | More",
41743-1,Friends,Hair Salon,2023,401,frnd0588 frnd0589 frnd0590,"$39.99, €44.99 | More",
41744-1,Friends,Sports Centre,2023,832,frnd0638 frnd0639 frnd0640 frnd0641,"$94.99, €94.99 | More",
41745-1,Friends,Autumn's Horse Stable,2023,545,frnd0620 frnd0621,"$59.99, €62.99 | More",
41746-1,Friends,Horse Training,2023,134,frnd0585 frnd0633,"$29.99, €29.99 | More",
41747-1,Friends,Heartlake City Community Kitchen,2023,695,frnd0580 frnd0587 frnd0622 frnd0623,"$67.99, €69.99 | More",
41748-1,Friends,Heartlake City Community Centre,2023,1513,frnd0627 frnd0628 frnd0629 frnd0630 frnd0631 frnd0632,"$139.99, €149.99 | More",
41749-1,Friends,Newsroom Van,2023,446,frnd0571 frnd0656 frnd0657,"$29.99, €29.99 | More",
41751-1,Friends,Skate Park,2023,431,frnd0614 frnd0615 frnd0616,"$49.99, €49.99 | More",
41752-1,Friends,Sea Rescue Plane,2023,203,frnd0646 frnd0647,"$19.99, €19.99 | More",
41753-1,Friends,Pancake Shop,2023,157,frnd0637 frnd0652,"$10.99, €9.99 | More",
41754-1,Friends,Leo's Room,2023,203,frnd0593 frnd0594,"$19.99, €19.99 | More",
41755-1,Friends,Nova's Room,2023,179,frnd0604 frnd0605,"$19.99, €19.99 | More",
41756-1,Friends,Holiday Ski Slope and Cafe,2023,980,frnd0661 frnd0662 frnd0663,"$79.99, €84.99 | More",
41757-1,Friends,Botanical Garden,2023,1072,frnd0624 frnd0625 frnd0626,"$79.99, €84.99 | More",
41758-1,Friends,LEGO Friends Advent Calendar 2023,2023,231,frnd0667 frnd0668,"$34.99, €26.99 | More",
41759-1,Friends,Heartlake City Bus,2023,480,frnd0634 frnd0635 frnd0636,"$49.99, €54.99 | More",
41760-1,Friends,Igloo Holiday Adventure,2023,491,frnd0664 frnd0665 frnd0666,"$49.99, €49.99 | More",
41801-1,Dots,My Pets Bracelet,2023,37,,"$5.99, €6.99 | More",
41802-1,Dots,Unicorns Forever Bracelet,2023,37,,"$5.99, €6.99 | More",
41803-1,Dots,Extra DOTS Series 8 - Glitter and Shine,2023,115,,"$3.99, €3.99 | More",
41805-1,Dots,Creative Animal Drawer,2023,643,,"$24.99, €24.99 | More",
41806-1,Dots,Ultimate Party Kit,2023,1154,,"$49.99, €49.99 | More",
41807-1,Dots,Bracelet Designer Mega Pack,2023,388,,"$29.99, €29.99 | More",
41808-1,Dots,Hogwarts Accessories Pack,2023,234,,"$14.99, €14.99 | More",
41809-1,Dots,Hedwig Pencil Holder,2023,518,,"$19.99, €19.99 | More",
41811-1,Dots,Hogwarts Desktop Kit,2023,856,,"$44.99, €44.99 | More",
42146-1,Technic,Liebherr Crawler Crane LR 13000,2023,2883,,"$699.99, €679.99 | More",
42147-1,Technic,Dump Truck,2023,177,,"$12.99, €9.99 | More",
42148-1,Technic,Snow Groomer,2023,178,,"$12.99, €9.99 | More",
42149-1,Technic,Monster Jam Dragon,2023,217,,"$19.99, €19.99 | More",
42150-1,Technic,Monster Jam Monster Mutt Dalmatian,2023,244,,"$19.99, €19.99 | More",
42151-1,Technic,Bugatti Bolide,2023,905,,"$49.99, €49.99 | More",
42152-1,Technic,Firefighter Aircraft,2023,1134,,"$99.99, €109.99 | More",
42153-1,Technic,NASCAR Next Gen Chevrolet Camaro ZL1,2023,672,,"$49.99, €49.99 | More",
42154-1,Technic,2022 Ford GT,2023,1466,,"$119.99, €119.99 | More",
42155-1,Technic,The Batman - Batcycle,2023,641,,"$49.99, €54.99 | More",
42156-1,Technic,PEUGEOT 9X8 24H Le Mans Hybrid Hypercar,2023,1775,,"$199.99, €199.99 | More",
42157-1,Technic,John Deere 948L-II Skidder,2023,1492,,"$199.99, €189.99 | More",
42158-1,Technic,NASA Mars Rover Perseverance,2023,1132,,"$99.99, €94.99 | More",
42159-1,Technic,Yamaha MT-10 SP,2023,1478,,"$239.99, €229.99 | More",
42160-1,Technic,Audi RS Q e-tron,2023,914,,"$179.99, €169.99 | More",
42161-1,Technic,Lamborghini Huracán Tecnica,2023,806,,"$49.99, €52.99 | More",
42162-1,Technic,Bugatti Bolide Agile Blue,2023,905,,"$49.99, €49.99 | More",
43210-1,Disney,Moana's Wayfinding Boat,2023,321,dp171 dp172,"$34.99, €34.99 | More",
43211-1,Disney,Aurora's Castle,2023,187,dp175 dp176 dp177,"$44.99, €44.99 | More",
43212-1,Disney,Disney Celebration Train,2023,200,dis085 dis086 dis087 dis088 dis089 toy016,"$39.99, €39.99 | More",
43213-1,Disney,The Little Mermaid Story Book,2023,134,dp178 dp179 dp180,"$19.99, €19.99 | More",
43214-1,Disney,Twirling Rapunzel,2023,89,dp167,"$9.99, €9.99 | More",
43215-1,Disney,The Enchanted Treehouse,2023,1016,13  (8 unique to this set),"$159.99, €169.99 | More",
43216-1,Disney,Princess Enchanted Journey,2023,320,dp168 dp169 dp170,"$64.99, €64.99 | More",
43217-1,Disney,'Up' House,2023,598,dis090 dis091,"$59.99, €54.99 | More",
43218-1,Disney,Anna and Elsa's Magical Carousel,2023,175,dp182 dp183 dp184 dp185,"$19.99, €20.99 | More",
43219-1,Disney,Disney Princess Creative Castles,2023,140,dp173 dp174,"$34.99, €34.99 | More",
43220-1,Disney,Peter Pan & Wendy's Storybook Adventure,2023,111,dis082 dis083 dis084,"$19.99, €19.99 | More",
43221-1,Disney,100 Years of Disney Animation Icons,2023,1022,dis115,"$59.99, €54.99 | More",
43222-1,Disney,Disney Castle,2023,4837,8  (5 unique to this set),"$399.99, €399.99 | More",
43223-1,Disney,Asha in the City of Rosas,2023,154,dis143 dis146,"$19.99, €20.99 | More",
43224-1,Disney,King Magnifico's Castle,2023,613,dis143 dis146 dis148 dis149,"$99.99, €94.99 | More",
43225-1,Disney,The Little Mermaid Royal Clamshell,2023,1808,dis110 dis111 dis112 dis113 dis114,"$159.99, €159.99 | More",
43226-1,Disney,Disney Duos,2023,553,,"$44.99, €47.99 | More",
43227-1,Disney,Villain Icons,2023,1540,dis127 dis128 dis129 dis130,"$129.99, €139.99 | More",
43229-1,Disney,Ariel's Treasure Chest,2023,370,dp181,"$44.99, €47.99 | More",
43230-1,Disney,Walt Disney Tribute Camera,2023,811,dis140 dis141 dis142,"$99.99, €99.99 | More",
43231-1,Disney,Asha's Cottage,2023,509,dis143 dis144 dis145 dis146,"$49.99, €52.99 | More",
43232-1,Disney,Peter Pan & Wendy's Flight over London,2023,466,dis086 dis087 dis139,"$59.99, €64.99 | More",
45495-1,Education,Small Sorting Top Trays (16 pack),2023,,,,
45496-1,Education,Medium Storage Yellow (8 pack),2023,,,,
45823-1,Education,MASTERPIECE Challenge Set,2023,1756,21  (6 unique to this set),,
45824-1,Education,MASTERPIECE Explore Set,2023,805,11  (6 unique to this set),,
60356-1,City,Bear Stunt Bike,2023,10,cty1531,"$7.99, €7.99 | More",
60357-1,City,Stunt Truck & Ring of Fire Challenge,2023,479,cty1590 cty1591 cty1592,"$59.99, €49.99 | More",
60358-1,City,Cyber Stunt Bike,2023,13,cty1527,"$7.99, €7.99 | More",
60359-1,City,Dunk Stunt Ramp Challenge,2023,144,cty1575,"$29.99, €19.99 | More",
60360-1,City,Spinning Stunt Challenge,2023,117,cty1576 cty1577,"$39.99, €34.99 | More",
60361-1,City,Ultimate Stunt Riders Challenge,2023,385,cty1578 cty1579 cty1580 cty1581,"$99.99, €89.99 | More",
60362-1,City,Car Wash,2023,243,cty1660 cty1661,"$32.99, €19.99 | More",
60363-1,City,Ice-Cream Shop,2023,296,cty1615 cty1616 cty1617,"$39.99, €34.99 | More",
60364-1,City,Street Skate Park,2023,454,cty1625 cty1626 cty1627 cty1628,"$67.99, €54.99 | More",
60365-1,City,Apartment Building,2023,688,cty1619 cty1620 cty1621 cty1622 cty1623 cty1624,"$94.99, €84.99 | More",
60366-1,City,Ski and Climbing Centre,2023,1045,8  (8 unique to this set),"$119.99, €104.99 | More",
60367-1,City,Passenger Airplane,2023,913,9  (8 unique to this set),"$119.99, €99.99 | More",
60368-1,City,Arctic Explorer Ship,2023,815,cty1607 cty1608 cty1609 cty1610 cty1611 cty1612 cty1613,"$159.99, €149.99 | More",
60369-1,City,Mobile Police Dog Training,2023,197,cty1525 cty1526,"$29.99, €19.99 | More",
60370-1,City,Police Station Chase,2023,172,cty1586 cty1587 cty1588 cty1589,"$39.99, €34.99 | More",
60371-1,City,Emergency Vehicles HQ,2023,706,cty1565 cty1566 cty1567 cty1568 cty1569,"$69.99, €64.99 | More",
60372-1,City,Police Training Academy,2023,823,cty1559 cty1560 cty1561 cty1562 cty1563 cty1564,"$99.99, €89.99 | More",
60373-1,City,Fire Rescue Boat,2023,144,cty1549 cty1550 cty1551,"$29.99, €19.99 | More",
60374-1,City,Fire Command Truck,2023,502,cty1545 cty1546 cty1547,"$64.99, €54.99 | More",
60375-1,City,Fire Station and Fire Engine,2023,153,cty1552 cty1555 cty1556,"$39.99, €34.99 | More",
60376-1,City,Arctic Explorer Snowmobile,2023,70,cty1614,"$10.99, €9.99 | More",
60377-1,City,Explorer Diving Boat,2023,182,cty1639 cty1640 cty1641,"$39.99, €29.99 | More",
60378-1,City,Arctic Explorer Truck and Mobile Lab,2023,489,cty1611 cty1612 cty1629 cty1630,"$74.99, €69.99 | More",
60379-1,City,Deep-Sea Explorer Submarine,2023,842,cty1609 cty1640 cty1641 cty1656 cty1657 cty1658 cty1659,"$109.99, €104.99 | More",
60380-1,City,Downtown,2023,2010,14  (13 unique to this set),"$199.99, €209.99 | More",
60381-1,City,LEGO City Advent Calendar 2023,2023,258,cty1682 cty1683 cty1684 cty1685 cty1686 hol325 hol368,"$34.99, €26.99 | More",
60382-1,City,Vet Van Rescue,2023,58,cty1532 cty1533,"$9.99, €9.99 | More",
60383-1,City,Electric Sports Car,2023,95,cty1524,"$9.99, €9.99 | More",
